title,content,user_id,event_date,status,city_state,venue,map_url,tickets_url,featured_image_url
Barnhill Vineyards - Dark Desert Highway,"We are honored to play a wonderful outdoor event in Anna, TX. Bringing you a night of the Eagles with a special group of musicians putting this together

Come catch us at the Barnhill Vineyards for “<strong> BEAUTIFUL SUNSETS… FANTASTIC LIVE MUSIC… &amp; WIDE OPEN SKIES</strong>”

Click on their website for more information, it’s a bring your own seating event complete with more than just live music for entertainment.

Wine, food, games and more! Tickets start at $19, available on their site.",1,2026-03-27 19:00:49,publish,"Anna, TX",Barnhill Vineyards,"https://www.google.com/maps/place/BarnHill+Vineyard/@33.3445797,-96.4790958,17z/data=!3m1!4b1!4m5!3m4!1s0x864c74169868c33d:0x5a23810c11e3df8!8m2!3d33.3446118!4d-96.4769174",https://www.eventbrite.com/o/barnhill-vineyards-16682771628,2025/07/DDH.jpeg
Oakmont Country Club - Solo Acoustic,"Live Music Friday Night Out at Oakmont, enjoy some background music early on, then it gets a little crazier later in the night - great times, great people!
Awesome food, service, and fun people - come join us!",1,2025-12-05 18:00:41,publish,"Corinth, TX",Oakmont Country Club,"https://www.google.com/maps/place/Oakmont+Country+Club/@33.1512057,-97.090905,17z/data=!3m1!4b1!4m5!3m4!1s0x864c334dbd2dd387:0x85ae78bb3b829717!8m2!3d33.1512057!4d-97.0887163",,2021/06/markmoss_logo.png
The Revel - DBX,"Get ready for some awesome classic rock at the Revel

DBX - our tribute to the music of Boston

We'll be performing with Double Vision and both bands playing songs you'll know by heart, get out and sing along!

Doors typically open at 8pm, show at 9pm",1,2025-11-15 21:00:36,publish,"Frisco, TX",The Revel,"https://www.google.com/maps/place/The+Revel+Patio+Grill/@33.1552065,-96.806599,17z/data=!3m2!4b1!5s0x864c3c25a2d33eb5:0x35e2b6672b26665f!4m5!3m4!1s0x864c3c25a2d53125:0xd1867e19c548a1cf!8m2!3d33.1552065!4d-96.8044103",,2023/10/Hub121-Post-Gig.jpeg
Oakmont Country Club - Solo Acoustic,"Live Music Friday Night Out at Oakmont, enjoy some background music early on, then it gets a little crazier later in the night - great times, great people!
Awesome food, service, and fun people - come join us!",1,2025-11-07 18:00:57,publish,"Corinth, TX",Oakmont Country Club,"https://www.google.com/maps/place/Oakmont+Country+Club/@33.1512057,-97.090905,17z/data=!3m1!4b1!4m5!3m4!1s0x864c334dbd2dd387:0x85ae78bb3b829717!8m2!3d33.1512057!4d-97.0887163",,2021/06/markmoss_logo.png
DeepRoots Vineyards - DBX,"We will be bringing the iconic music of Boston to the countryside, some wine, beautiful sunsets, maybe even some horses!",1,2025-11-01 19:00:10,publish,"Plantersville, TX",DeepRoots Vineyards,"https://www.google.com/maps/place/DeepRoots+Vineyards%2FBrewery/@30.2962238,-95.847335,1317m/data=!3m2!1e3!4b1!4m6!3m5!1s0x8646db2b9abe1f61:0x6c0fee315e9d1fce!8m2!3d30.2962192!4d-95.8447547!16s%2Fg%2F11rgls9shc?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",,2025/05/DeepRoots.jpg
Barnhill Vineyards - DBX,"We are honored to play a wonderful outdoor event in Anna, TX.

Come catch us at the Barnhill Vineyards for “<strong> BEAUTIFUL SUNSETS… FANTASTIC LIVE MUSIC… &amp; WIDE OPEN SKIES</strong>”

Click on their website for more information, it’s a bring your own seating event complete with more than just live music for entertainment.

Wine, food, games and more! Tickets start at $19, available on their site.",1,2025-10-18 19:30:06,publish,"Anna, TX",Barnhill Vineyards,"https://www.google.com/maps/place/BarnHill+Vineyard/@33.3445797,-96.4790958,17z/data=!3m1!4b1!4m5!3m4!1s0x864c74169868c33d:0x5a23810c11e3df8!8m2!3d33.3446118!4d-96.4769174",https://www.eventbrite.com/o/barnhill-vineyards-16682771628,2022/12/DBX-Logo.jpg
Hippie Hoedown - Zep Unplugged,"If you're looking for a weekend getaway complete with music, festivities, kayaking and more outdoor fun, this is the place to BE!

Music all day, benefit charity People Feeding People - come join us, music all day, all night.",1,2025-10-04 12:00:47,publish,"Millsap, TX",Brazos Camp and Kayak,"https://www.google.com/maps/place/Brazos+Outdoor+Center/@32.2710054,-97.6665129,271m/data=!3m1!1e3!4m9!3m8!1s0x864e2f0ffcd0ed9d:0xe71c66c4651d2b56!5m2!4m1!1i2!8m2!3d32.2712194!4d-97.6665647!16s%2Fg%2F11c1ljj82l?entry=ttu&g_ep=EgoyMDI0MTAxNi4wIKXMDSoASAFQAw%3D%3D",,2024/10/Zep-Unplugged-Logo.jpg
Oakmont Country Club - Solo Acoustic,"Live Music Friday Night Out at Oakmont, enjoy some background music early on, then it gets a little crazier later in the night - great times, great people!
Awesome food, service, and fun people - come join us!",1,2025-10-03 18:00:13,publish,"Corinth, TX",Oakmont Country Club,"https://www.google.com/maps/place/Oakmont+Country+Club/@33.1512057,-97.090905,17z/data=!3m1!4b1!4m5!3m4!1s0x864c334dbd2dd387:0x85ae78bb3b829717!8m2!3d33.1512057!4d-97.0887163",,2021/06/markmoss_logo.png
Hub 121 - Double Vision,"We'll be paying tribute to the music of Foreigner at the Hub 121 in McKinney

Come enjoy a night of great music outdoors on a Texas fall night!",1,2025-09-26 20:00:18,publish,"McKinney, TX",Hub 121,"https://www.google.com/maps/place/HUB+121/@33.1353893,-96.712652,17z/data=!3m1!4b1!4m6!3m5!1s0x864c172f674f7bb3:0x7b71de0adcfea8f6!8m2!3d33.1353848!4d-96.7100717!16s%2Fg%2F11rr8fcx6_",,2022/05/Logo.jpg
The Revel - Double Vision,"Bringing the biggest hits of Foreigner to the stage at the Revel in Frisco!

We'll be performing with my other band, DBX - hits from Boston as a bonus!

Tickets available at Eventbrite.com

Doors open at 8, show at 9pm",1,2025-09-13 21:00:25,publish,"Frisco, TX",The Revel,"https://www.google.com/maps/place/The+Revel+Patio+Grill/@33.1552065,-96.806599,17z/data=!3m2!4b1!5s0x864c3c25a2d33eb5:0x35e2b6672b26665f!4m5!3m4!1s0x864c3c25a2d53125:0xd1867e19c548a1cf!8m2!3d33.1552065!4d-96.8044103",,2022/05/Logo.jpg
The Revel - DBX,"Get ready for some awesome classic rock at the Revel

DBX - our tribute to the music of Boston

We'll be performing with Double Vision and both bands playing songs you'll know by heart, get out and sing along!

Doors typically open at 8pm, show at 9pm",1,2025-09-13 19:00:05,publish,"Frisco, TX",The Revel,"https://www.google.com/maps/place/The+Revel+Patio+Grill/@33.1552065,-96.806599,17z/data=!3m2!4b1!5s0x864c3c25a2d33eb5:0x35e2b6672b26665f!4m5!3m4!1s0x864c3c25a2d53125:0xd1867e19c548a1cf!8m2!3d33.1552065!4d-96.8044103",,2023/10/Hub121-Post-Gig.jpeg
Barnhill Vineyards - Dark Desert Highway,"We are honored to play a wonderful outdoor event in Anna, TX. Bringing you a night of the Eagles with a special group of musicians putting this together

Come catch us at the Barnhill Vineyards for “<strong> BEAUTIFUL SUNSETS… FANTASTIC LIVE MUSIC… &amp; WIDE OPEN SKIES</strong>”

Click on their website for more information, it’s a bring your own seating event complete with more than just live music for entertainment.

Wine, food, games and more! Tickets start at $19, available on their site.",1,2025-08-22 19:30:28,publish,"Anna, TX",Barnhill Vineyards,"https://www.google.com/maps/place/BarnHill+Vineyard/@33.3445797,-96.4790958,17z/data=!3m1!4b1!4m5!3m4!1s0x864c74169868c33d:0x5a23810c11e3df8!8m2!3d33.3446118!4d-96.4769174",https://www.eventbrite.com/o/barnhill-vineyards-16682771628,2025/07/DDH.jpeg
